fn,md5_repo,md5_prod,delta_bytes,balde_auto,critica,prioridade,decisao,responsavel
gmail-oauth,6ecb98a96a493d8ece0b9ea9f639cf15,46ff8f0d47a6678066a34416b81fbc3b,-147,B,false,P3,,
gmail-send,db3b9ec6ac6ea9eea66cbf6a6922c688,4bf75c5a9f16b327d7986362e8508c91,-492,B,false,P3,,
gmail-token-refresh,c6dc8a2d4cd88d0f037c738e028f5496,cb2780bc678ce93658f13a5e03884959,-345,B,false,P3,,
health,861b08a7fac4b9deb6d56cc9fd3df2bc,3d87da1ec24a1efb53a629589809ec12,-127,B,false,P3,,
health-check,5499eb5a50499cc2290734b764dc3099,2f0304a2e510341534ba937a3f8651d8,-34,D,false,P3,,
hello,8c6df825c2dd76d4ac53287c28425ce5,e668b070fd598d21136fed6df1bc3715,-15,D,false,P3,,
instance-pause-control,89a5e56a29a69d6d29ddec83e552751c,be86aa62bc120ffe303035b311045caf,-154,B,false,P3,,
main,aa41b227e2c44e2d7fa89042225646de,6e1c79c6f6928cbf2b1ab12cab93fd46,2660,A,false,P3,,
mcp-server,c0f95eecc32dfb402acf7eef28b2420c,a412b6b914d3160c348479638fba5cd5,-48,D,false,P3,,
outlook-oauth,a25a93ee4fb9154b2f5d6a715802a400,8178bcd3ddb9881f5573bfe9cd85426e,-641,B,false,P3,,
promogifts-catalog,ff28f0478b2256ad694142997dc40b76,69dc6111de72e91bc448b8b60f4db9f5,-313,B,false,P3,,
provider-healthcheck,2a5d58778308c8a7e24f1078f7ecc45d,be0634d4cc001b1559c3b6fc9889bf48,-126,B,false,P3,,
provider-router,96467bdea6cd77646f94069b108bc7bd,0f25f7ea4d0e569dbed6bae93a18ba62,-402,B,false,P3,,
proxy-health,66280a110defeb88fb9e9d7485578b91,4f11a487523f377853e39ce7e2934ffa,-286,B,false,P3,,
proxy-metrics,348d3eae58b42f14cfac5b6b47e974aa,0e603d96d23e611b13bc39f3c4442054,-253,B,false,P3,,
recheck-webhook-signature,76239ece8ec68f3c92e101c8e080a7f4,16ad5a0fc55ff1ae0ae24a6815dc28be,-183,B,false,P3,,
secure-upload,d287fa70994f1d854be09c0c3f57521e,aea0d83bb9f680878eea134a018451af,-223,B,false,P3,,
seed-teams-users,71c37a142d82679bd27a0b99b86007b0,9e25ea7ca3728a8ab9a39b44148f65cb,-79,B,false,P3,,
send-email,b2c4e2416f1169cc87657da9e2a1338c,005a85b4d05734a7fb2a27c7c7810ff6,-142,B,false,P3,,
sicoob-bridge,3d16cf9d57711aa1688a963c6403ec19,a6946c20e0c1d848accb395da35d8a29,-107,B,false,P3,,
